ShortIdentifier,PeakEvent
LBS - Culgoa FP South 1995-12,1996-01-28 00:00:00+10:00
LBS - Culgoa FP South 2008-01,2008-02-05 00:00:00+10:00
LBS - Culgoa FP South 2010-12,2011-01-21 00:00:00+10:00
LBS - Culgoa FP South 2012-01,2012-02-17 00:00:00+10:00
LBS - Culgoa FP North 1995-12,1996-01-28 00:00:00+10:00
LBS - Culgoa FP North 2008-01,2008-02-06 00:00:00+10:00
LBS - Culgoa FP North 2010-12,2011-01-21 00:00:00+10:00
LBS - Culgoa FP North 2012-01,2012-02-17 00:00:00+10:00
LBS - Narran River 1995-12,1996-01-28 00:00:00+10:00
LBS - Narran River 2008-01,2008-01-29 00:00:00+10:00
LBS - Narran River 2010-12,2011-01-21 00:00:00+10:00
LBS - Narran River 2012-01,2012-02-17 00:00:00+10:00
LBS - St George 1995-12,1996-01-28 00:00:00+10:00
LBS - St George 2008-01,2008-02-22 00:00:00+10:00
LBS - St George 2010-12,2011-01-21 00:00:00+10:00
LBS - St George 2012-01,2012-02-17 00:00:00+10:00
SA - Weir Pool 5 2013-09,2013-10-30 00:00:00+09:30
SA - Weir Pool 3 2013-09,2013-10-30 00:00:00+09:30
SA - Weir Pool 4 2013-09,2013-10-30 00:00:00+09:30
Namoi - DS Mollee 1998-07,1998-07-24 06:00:00+10:00
Namoi - Boolcarroll 1998-07,1998-07-24 06:00:00+10:00
Namoi - DS Gunidgera 1998-07,1998-07-24 06:00:00+10:00
Namoi - Merah North 1998-07,1998-07-24 06:00:00+10:00
Murray - GKPF 2016-08,2016-08-18 00:00:00+10:00